Заголовок,nomer_fonda,nomer_opisi,nomer_dela,document_type,document_id,last_name,first_name,middle_name,date_birth,place_birth,date_death,rank,warunit,cause_of_death,primary_burial,current_burial,conscription_location,primary_url,notes,Дата
Чолакава Константин Илларионович,,,,ЦАМО,551197291,Чолакава,Константин,Илларионович,,"Грузинская ССР, Слукидзевский р-н, Красная Звезда",05.03.1942,мл. лейтенант,СКФ 826 сп 398 сд,пропал без вести,,,,https://obd-memorial.ru/html/info.htm?id=551197291,пропал без вести,2026-06-02
Бойко Евгений Петрович,,,,ЦАМО,551198188,Бойко,Евгений,Петрович,,"г. Керчь, пер. Сенной, 11",Между 13.03.1942 и 26.04.1942,красноармеец,СКФ 821 сп 398 сд,,,,,https://obd-memorial.ru/html/info.htm?id=551198188,,2026-06-02
Храмов Иван Васильевич,,,,ЦАМО,551200143,Храмов,Иван,Васильевич,,,08.03.1942,красноармеец,СКФ 958 ап 398 сд,умер,"Крымская АССР, Ленинский р-н, Ак-Монайский с/с, с. Ак-Монай",,,https://obd-memorial.ru/html/info.htm?id=551200143,умер,2026-06-02
Бения Сардион Бясатович,,,,ЦАМО,551200144,Бения,Сардион,Бясатович,,,09.03.1942,красноармеец,СКФ 958 ап 398 сд,умер,"Крымская АССР, Ленинский р-н, Ак-Монайский с/с, с. Ак-Монай",,,https://obd-memorial.ru/html/info.htm?id=551200144,умер,2026-06-02
Хакимов Фазалит Джеман.,,,,ЦАМО,551200151,Хакимов,Фазалит,Джеман.,,,07.03.1942,красноармеец,СКФ 958 ап 398 сд,умер,"Крымская АССР, Ленинский р-н, Ак-Монайский с/с, с. Ак-Монай",,,https://obd-memorial.ru/html/info.htm?id=551200151,умер,2026-06-02
Сергеев Петр Сергеевич,,,,ЦАМО,551200159,Сергеев,Петр,Сергеевич,,,20.03.1942,красноармеец,СКФ 958 ап 398 сд,пропал без вести,,,,https://obd-memorial.ru/html/info.htm?id=551200159,пропал без вести,2026-06-02
Саркисян Хачик Хочетурович,,,,ЦАМО,551200160,Саркисян,Хачик,Хочетурович,,,20.03.1942,красноармеец,СКФ 958 ап 398 сд,пропал без вести,,,,https://obd-memorial.ru/html/info.htm?id=551200160,пропал без вести,2026-06-02
Миронов Михаил Иванович,,,,ЦАМО,551200163,Миронов,Михаил,Иванович,,,20.03.1942,красноармеец,СКФ 958 ап 398 сд,пропал без вести,,,,https://obd-memorial.ru/html/info.htm?id=551200163,пропал без вести,2026-06-02
Клименко Петр Михайлович,,,,ЦАМО,551200164,Клименко,Петр,Михайлович,,,20.03.1942,красноармеец,СКФ 958 ап 398 сд,пропал без вести,,,,https://obd-memorial.ru/html/info.htm?id=551200164,пропал без вести,2026-06-02
Панасенко С. П.,,,,ЦАМО,551200175,Панасенко,С.,П.,,,13.03.1942,красноармеец,СКФ 958 ап 398 сд,пропал без вести,,,,https://obd-memorial.ru/html/info.htm?id=551200175,пропал без вести,2026-06-02
